Date,Total
2025-05-02,0.1364
2025-05-03,0.1369
2025-05-04,0.1369
2025-05-05,0.1375
2025-05-06,0.1386
2025-05-07,0.1386
2025-05-08,0.1386
2025-05-09,0.1408
2025-05-10,0.1408
2025-05-11,0.1408
2025-05-12,0.1408
2025-05-13,0.1408
2025-05-14,0.1408
2025-05-15,0.1416
2025-05-16,0.1416
2025-05-17,0.1418
2025-05-18,0.1424
2025-05-19,0.1432
2025-05-20,0.1435
2025-05-21,0.1443
2025-05-22,0.1443
2025-05-23,0.1443
2025-05-24,0.1460
2025-05-25,0.1465
2025-05-26,0.1465
2025-05-27,0.1465
2025-05-28,0.1468
2025-05-29,0.1484
2025-05-30,0.1490
2025-05-31,0.1498
