Datetime,Hashrate
2025-05-27 21:00:00,7.542
2025-05-27 22:00:00,7.364
2025-05-27 23:00:00,7.492
2025-05-28 00:00:00,7.043
2025-05-28 01:00:00,7.427
2025-05-28 02:00:00,7.685
2025-05-28 03:00:00,7.552
2025-05-28 04:00:00,7.857
2025-05-28 05:00:00,7.659
2025-05-28 06:00:00,7.618
2025-05-28 07:00:00,7.400
2025-05-28 08:00:00,7.330
2025-05-28 09:00:00,6.980
2025-05-28 10:00:00,7.302
2025-05-28 11:00:00,7.340
2025-05-28 12:00:00,7.843
2025-05-28 13:00:00,7.428
2025-05-28 14:00:00,7.257
2025-05-28 15:00:00,7.475
2025-05-28 16:00:00,7.441
2025-05-28 17:00:00,7.031
2025-05-28 18:00:00,8.025
2025-05-28 19:00:00,8.071
2025-05-28 20:00:00,7.843
2025-05-28 21:00:00,7.800
2025-05-28 22:00:00,7.304
2025-05-28 23:00:00,7.436
2025-05-29 00:00:00,7.342
2025-05-29 01:00:00,7.767
2025-05-29 02:00:00,7.690
2025-05-29 03:00:00,7.304
2025-05-29 04:00:00,7.694
2025-05-29 05:00:00,7.439
2025-05-29 06:00:00,7.296
2025-05-29 07:00:00,7.436
2025-05-29 08:00:00,7.281
2025-05-29 09:00:00,7.404
2025-05-29 10:00:00,7.177
2025-05-29 11:00:00,6.865
2025-05-29 12:00:00,7.391
2025-05-29 13:00:00,6.810
2025-05-29 14:00:00,5.194
2025-05-29 15:00:00,5.540
2025-05-29 16:00:00,6.236
2025-05-29 17:00:00,6.503
2025-05-29 18:00:00,6.466
2025-05-29 19:00:00,6.181
2025-05-29 20:00:00,4.972
2025-05-29 21:00:00,5.760
2025-05-29 22:00:00,5.841
2025-05-29 23:00:00,6.333
2025-05-30 00:00:00,6.297
2025-05-30 01:00:00,7.228
2025-05-30 02:00:00,7.810
2025-05-30 03:00:00,7.551
2025-05-30 04:00:00,7.288
2025-05-30 05:00:00,7.703
2025-05-30 06:00:00,7.686
2025-05-30 07:00:00,7.278
2025-05-30 08:00:00,7.515
2025-05-30 09:00:00,7.548
2025-05-30 10:00:00,7.495
2025-05-30 11:00:00,7.262
2025-05-30 12:00:00,7.366
2025-05-30 13:00:00,7.409
2025-05-30 14:00:00,7.398
2025-05-30 15:00:00,7.739
2025-05-30 16:00:00,7.017
2025-05-30 17:00:00,7.328
2025-05-30 18:00:00,7.226
2025-05-30 19:00:00,7.123
2025-05-30 20:00:00,6.984
2025-05-30 21:00:00,7.343
2025-05-30 22:00:00,7.221
2025-05-30 23:00:00,7.706
2025-05-31 00:00:00,7.066
2025-05-31 01:00:00,6.440
2025-05-31 02:00:00,7.502
2025-05-31 03:00:00,7.688
2025-05-31 04:00:00,7.112
2025-05-31 05:00:00,7.290
2025-05-31 06:00:00,7.690
2025-05-31 07:00:00,7.233
2025-05-31 08:00:00,7.227
2025-05-31 09:00:00,7.153
2025-05-31 10:00:00,7.596
2025-05-31 11:00:00,7.380
2025-05-31 12:00:00,7.424
2025-05-31 13:00:00,7.414
2025-05-31 14:00:00,7.252
