2025-08-31 02:39:35.5338 StratumServer SHARE FOUND: mainchain height 3489511, sidechain height 0, diff 100000, client 192.168.0.134:56802, user phoebe, effort 100.001%
2025-08-31 02:39:50.2247 StratumServer SHARE FOUND: mainchain height 3489512, sidechain height 1, diff 100000, client 192.168.0.122:44568, user islands, effort 200.002%
2025-08-31 02:40:20.6878 StratumServer SHARE FOUND: mainchain height 3489512, sidechain height 2, diff 100000, client 192.168.0.27:34808, user paris, effort 50.000%
2025-08-31 18:10:35.1191 StratumServer SHARE FOUND: mainchain height 3489970, sidechain height 11602940, diff 158189297, client 192.168.0.27:52972, user paris, effort 155.318%
2025-09-01 16:54:22.0260 StratumServer SHARE FOUND: mainchain height 3490715, sidechain height 11610961, diff 162991153, client 192.168.0.27:50420, user paris, effort 219.250%
2025-09-01 21:48:40.1380 StratumServer SHARE FOUND: mainchain height 3490861, sidechain height 11612603, diff 152333965, client 192.168.0.122:44568, user islands, effort 51.431%
2025-09-02 18:32:48.7865 StratumServer SHARE FOUND: mainchain height 3491426, sidechain height 11620039, diff 173454263, client 192.168.0.122:44568, user islands, effort 187.917%
2025-09-03 01:54:29.3643 StratumServer SHARE FOUND: mainchain height 3491683, sidechain height 11622565, diff 169804519, client 192.168.0.122:44568, user islands, effort 67.693%
2025-09-03 02:16:25.3041 StratumServer SHARE FOUND: mainchain height 3491692, sidechain height 11622693, diff 170261415, client 192.168.0.176:45920, user kermit, effort 3.691%
2025-09-04 05:25:45.4506 StratumServer SHARE FOUND: mainchain height 3492508, sidechain height 11632083, diff 150369255, client 192.168.0.134:56802, user phoebe, effort 284.519%
2025-09-05 00:00:57.5508 StratumServer SHARE FOUND: mainchain height 3493028, sidechain height 11638658, diff 159894762, client 192.168.0.122:44568, user islands, effort 180.236%
2025-09-05 08:44:01.7821 StratumServer SHARE FOUND: mainchain height 3493285, sidechain height 11641721, diff 164829189, client 192.168.0.122:44568, user islands, effort 82.936%
2025-09-05 18:44:33.8001 StratumServer SHARE FOUND: mainchain height 3493566, sidechain height 11645214, diff 164683414, client 192.168.0.122:44568, user islands, effort 95.762%
2025-09-06 05:42:00.8461 StratumServer SHARE FOUND: mainchain height 3493880, sidechain height 11649086, diff 163069101, client 192.168.0.176:42090, user kermit, effort 102.622%
2025-06-27 14:16:49.2428 StratumServer SHARE FOUND: mainchain height 3443212, sidechain height 11055510, diff 138575392, client 192.168.0.176:50090, user kermit, effort 112.473%
2025-06-27 22:11:25.1996 StratumServer SHARE FOUND: mainchain height 3443453, sidechain height 11058353, diff 140349503, client 192.168.0.27:49794, user paris, effort 112.681%
2025-06-28 01:58:21.6214 StratumServer SHARE FOUND: mainchain height 3443554, sidechain height 11059694, diff 143527490, client 192.168.0.122:56066, user islands, effort 54.387%
2025-06-28 03:47:45.9367 StratumServer SHARE FOUND: mainchain height 3443607, sidechain height 11060293, diff 140126120, client 192.168.0.220:54500, user phoebe, effort 27.430%
2025-06-28 07:06:57.8093 StratumServer SHARE FOUND: mainchain height 3443702, sidechain height 11061459, diff 136405754, client 192.168.0.220:54500, user phoebe, effort 48.931%
2025-06-28 13:16:47.3055 StratumServer SHARE FOUND: mainchain height 3443886, sidechain height 11063633, diff 136261022, client 192.168.0.169:42258, user maia, effort 94.048%
2025-06-28 18:47:18.6494 StratumServer SHARE FOUND: mainchain height 3444067, sidechain height 11065573, diff 140951363, client 192.168.0.176:43386, user kermit, effort 77.862%
2025-06-29 05:00:14.4998 StratumServer SHARE FOUND: mainchain height 3444379, sidechain height 11069109, diff 133800677, client 192.168.0.176:55246, user kermit, effort 156.097%
2025-06-29 05:45:03.3820 StratumServer SHARE FOUND: mainchain height 3444399, sidechain height 11069381, diff 132829099, client 192.168.0.220:54500, user phoebe, effort 11.240%
2025-06-29 08:59:41.3096 StratumServer SHARE FOUND: mainchain height 3444524, sidechain height 11070551, diff 140221617, client 192.168.0.122:56066, user islands, effort 46.280%
2025-06-30 19:34:24.3360 StratumServer SHARE FOUND: mainchain height 3445525, sidechain height 11082611, diff 133959378, client 192.168.0.169:42258, user maia, effort 536.257%
2025-07-01 05:38:41.8984 StratumServer SHARE FOUND: mainchain height 3445842, sidechain height 11086150, diff 124967651, client 192.168.0.169:42258, user maia, effort 163.774%
2025-07-01 15:44:26.1362 StratumServer SHARE FOUND: mainchain height 3446158, sidechain height 11089735, diff 133081745, client 192.168.0.176:34110, user kermit, effort 155.885%
2025-07-01 15:47:44.1278 StratumServer SHARE FOUND: mainchain height 3446158, sidechain height 11089762, diff 133602449, client 192.168.0.176:34110, user kermit, effort 0.906%
2025-07-01 18:15:45.4757 StratumServer SHARE FOUND: mainchain height 3446219, sidechain height 11090638, diff 131357972, client 192.168.0.169:42258, user maia, effort 37.234%
2025-07-02 01:03:07.4234 StratumServer SHARE FOUND: mainchain height 3446394, sidechain height 11092984, diff 126070536, client 192.168.0.176:34110, user kermit, effort 109.497%
2025-07-02 01:36:29.3783 StratumServer SHARE FOUND: mainchain height 3446411, sidechain height 11093181, diff 127881062, client 192.168.0.122:56066, user islands, effort 8.827%
2025-07-02 06:51:40.1383 StratumServer SHARE FOUND: mainchain height 3446558, sidechain height 11095028, diff 131557511, client 192.168.0.220:54500, user phoebe, effort 82.668%
2025-07-02 14:22:06.1099 StratumServer SHARE FOUND: mainchain height 3446809, sidechain height 11097707, diff 132221773, client 192.168.0.220:54500, user phoebe, effort 114.473%
2025-07-02 20:31:23.1713 StratumServer SHARE FOUND: mainchain height 3446987, sidechain height 11099910, diff 137125569, client 192.168.0.176:35324, user kermit, effort 90.426%
2025-07-03 14:10:41.8042 StratumServer SHARE FOUND: mainchain height 3447520, sidechain height 11106017, diff 127332266, client 192.168.0.176:38016, user kermit, effort 284.285%
2025-07-03 14:47:53.6528 StratumServer SHARE FOUND: mainchain height 3447538, sidechain height 11106237, diff 127172125, client 192.168.0.169:42258, user maia, effort 9.696%
2025-07-04 04:35:17.7420 StratumServer SHARE FOUND: mainchain height 3447943, sidechain height 11111149, diff 133305204, client 192.168.0.169:42258, user maia, effort 213.181%
2025-07-04 06:19:38.9175 StratumServer SHARE FOUND: mainchain height 3447999, sidechain height 11111759, diff 135999033, client 192.168.0.169:42258, user maia, effort 25.849%
2025-07-04 09:17:54.1311 StratumServer SHARE FOUND: mainchain height 3448086, sidechain height 11112807, diff 132454796, client 192.168.0.176:39654, user kermit, effort 44.898%
2025-07-04 11:41:10.4481 StratumServer SHARE FOUND: mainchain height 3448153, sidechain height 11113643, diff 136065297, client 192.168.0.169:42258, user maia, effort 36.116%
2025-07-04 16:37:55.8504 StratumServer SHARE FOUND: mainchain height 3448300, sidechain height 11115428, diff 140144155, client 192.168.0.220:54500, user phoebe, effort 74.494%
2025-07-04 17:57:33.3954 StratumServer SHARE FOUND: mainchain height 3448335, sidechain height 11115874, diff 139378334, client 192.168.0.169:42258, user maia, effort 19.678%
2025-07-05 05:19:46.5140 StratumServer SHARE FOUND: mainchain height 3448652, sidechain height 11119826, diff 135690897, client 192.168.0.176:33646, user kermit, effort 172.903%
2025-07-05 09:22:03.0294 StratumServer SHARE FOUND: mainchain height 3448776, sidechain height 11121243, diff 131195675, client 192.168.0.176:33646, user kermit, effort 63.906%
2025-07-05 13:12:11.7767 StratumServer SHARE FOUND: mainchain height 3448931, sidechain height 11122610, diff 134979627, client 192.168.0.211:48470, user thepad, effort 59.627%
2025-07-05 14:26:17.5450 StratumServer SHARE FOUND: mainchain height 3448967, sidechain height 11123075, diff 137500597, client 192.168.0.176:33646, user kermit, effort 19.300%
2025-07-05 14:49:41.8868 StratumServer SHARE FOUND: mainchain height 3448975, sidechain height 11123204, diff 137967076, client 192.168.0.27:46226, user paris, effort 6.413%
